"classification","2017","2018","2019e","2020f","2021f","2020fd","2021fd","area"
"EMDE EAP  GDP","6.5","6.3","5.9","0.5","6.6","-5.2","1","EAS"
"GDP per capita (US. dollars)","5.8","5.6","5.2","-0.1","6","-5.2","1","EAS"
"EMDE EAP  GDP","6.5","6.3","5.9","0.5","6.6","-5.2","1","EAS"
"PPP GDP","6.4","6.3","5.8","0.4","6.5","-5.3","0.9","EAS"
"Private consumption","6.1","8.4","6.5","0.8","8.8000000000000007","-6.1","2.2000000000000002","EAS"
"Public consumption","8.9","8.8","7.8","11.2","7.4","3.6","-0.1","EAS"
"Fixed investment","4.7","5.1","4.3","-0.2","4.0999999999999996","-4.8","-0.6","EAS"
"Exports  GNFS","9.4","4.9","1.9","-10.3","4.2","-11.6","2.2000000000000002","EAS"
"Imports  GNFS","8.3","8.4","0.3","-5.7","5.2","-7.7","2.7","EAS"
"Net exports  contribution to growth","0.4","-0.9","0.5","-1.3","-0.3","-1.1000000000000001","-0.2","EAS"
"East Asia excluding China","5.4","5.3","4.8","-1.2","5.4","-6.1","0.4","EAS"
"China","6.8","6.6","6.1","1","6.9","-4.9000000000000004","1.1000000000000001","EAS"
"Indonesia","5.1","5.2","5","0","4.8","-5.0999999999999996","-0.4","EAS"
"Thailand","4.1","4.2","2.4","-5","4.0999999999999996","-7.7","1.3","EAS"
"EMDE ECA  GDP","4.1","3.3","2.2000000000000002","-4.7","3.6","-7.3","0.7","ECS"
"GDP per capita (US. dollars)","3.6","2.9","1.8","-5","3.4","-7.3","0.7","ECS"
"EMDE ECA  GDP excl Turkey","3.1","3.5","2.7","-5","3.2","-7.5","0.6","ECS"
"EMDE ECA  GDP","4.2","3.3","2.1","-4.9000000000000004","3.7","-7.4","0.9","ECS"
"PPP GDP","4.1","3.3","2.2000000000000002","-4.8","3.7","-7.4","0.8","ECS"
"Private consumption","5.2","3.1","1.9","-3.7","2.9","-6.3","0.4","ECS"
"Public consumption","3.4","2.9","3","5.2","2","3.5","0.2","ECS"
"Fixed investment","6.7","2.3","0.5","-8.5","6.7","-12.9","2.5","ECS"
"Exports  GNFS","7.5","5.8","2.4","-11.8","4","-14.1","0.6","ECS"
"Imports  GNFS","11.6","3.3","2","-10.7","4.7","-14.8","-0.2","ECS"
"Net exports  contribution to growth","-0.8","1","0.3","-0.9","0","-0.4","0.3","ECS"
"Commodity exporters","2.2","2.9","2","-5.0999999999999996","2.9","-7.2","0.6","ECS"
"Commodity importers","6.1","3.8","2.5","-4.3","4.3","-7.4","0.8","ECS"
"Central Europe","5.1","4.8","4.0999999999999996","-5","3.8","-8.4","0.7","ECS"
"Western Balkans","2.7","4","3.5","-3.2","4.5999999999999996","-6.8","0.8","ECS"
