"Country_Code","Country_Name.x","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"EAS","East Asia & Pacific",7.06989252172798,4.61047770193017,4.69413739166984,4.76981980097734,4.18986456074748,4.1997491967488,4.09140412419657,6.5,6.3,5.9,0.5,6.6
"EMU","Euro area",2.13350909170111,1.68657026394395,-0.892120141685922,-0.252723021082531,1.40109851933686,2.11356295088811,1.91281289847957,2.5,1.9,1.2,-9.1,4.5
"ECS","Europe & Central Asia",2.62246856663657,2.40468408270105,0.318386069147849,0.900190381289505,1.83264249686115,2.07578414212696,1.92119333532173,4.1,3.3,2.2,-4.7,3.6
"LCN","Latin America & Caribbean",5.85016571770178,4.36583870217022,2.78415696409479,2.78487363645772,0.990677866765793,0.0900868525794039,-0.336701963678749,1.9,1.7,0.8,-7.2,2.8
"MEA","Middle East & North Africa",5.05163744548518,3.68100021455146,3.88939552498853,2.7076934647269,2.90544693717645,2.37541872236629,4.96242847485513,1.1,0.9,-0.2,-4.2,2.3
"SAS","South Asia",7.70350027632773,5.13757686830859,5.50198593146176,6.08755291082421,6.9926022073596,7.4803287852536,7.77835846771654,6.5,6.5,4.7,-2.7,2.8
"SSF","Sub-Saharan Africa",5.40488417151504,4.73806711347594,3.96407442049798,5.00137417277409,4.65626452526141,2.84441682451617,1.2371439307806,2.6,2.6,2.2,-2.8,3.1
"WLD","World",4.30065187346788,3.14027655362288,2.51696285255024,2.66293597856703,2.84745929049367,2.87915245635897,2.59217168828745,3.3,3,2.4,-5.2,4.2
"AFG","Afghanistan",14.3624414596815,0.426354792856571,12.7522870825788,5.60074466131904,2.72454336495028,1.45131465458005,2.2603142045464,2.7,1.8,2.9,-5.5,1
"ALB","Albania",3.70689230100685,2.54532184477017,1.41752599216282,1.00198715014967,1.77448678495496,2.21875223166761,3.31480475341897,3.8,4.1,2.2,-5,8.8
"DZA","Algeria",3.59999999969583,2.90000000095189,3.39999999820542,2.80000000025291,3.80000000077902,3.70000000057085,3.19999999983371,1.3,1.4,0.8,-6.4,1.9
"AGO","Angola",4.85919754128949,3.47198137570336,8.54214733662195,4.95459047039728,4.82262555122684,0.943575613388759,-2.58009724323077,-0.1,-2,-0.9,-4,3.1
"ARG","Argentina",10.1253981561002,6.00395169280579,-1.02642045443208,2.40532378079436,-2.51261532081396,2.73115982828946,-2.08032784377811,2.7,-2.5,-2.2,-7.3,2.1
"ARM","Armenia",2.20000000000017,4.69999999999983,7.20000000000003,3.3,3.60000000000001,3.20000000000005,0.200000000000003,7.5,5.2,7.6,-2.8,4.9
"AZE","Azerbaijan",4.78924279245965,-1.57299762108386,2.20293902267818,5.84341576237273,2.79758543403612,1.0495463680441,-3.06359845351251,0.2,1.5,2.2,-2.6,2.2
"BHR","Bahrain",4.33429917283131,1.98351501159991,3.72810843046017,5.41683981012071,4.35039085252969,2.86304730414378,3.47351657476945,4.3,1.8,1.8,-4.5,2.3
"BGD","Bangladesh",5.57180227396866,6.46438388047517,6.52143507837333,6.01361036536019,6.06105935903958,6.55263987869203,7.1135024597439,7.3,7.9,8.2,1.6,1
"BLR","Belarus",7.79826682269731,5.37870744981015,1.68713553642841,1.00347084085645,1.72638485417005,-3.82957055828382,-2.52644643552361,2.5,3.1,1.2,-4,1
"BLZ","Belize",3.0018036588508,1.91786533249947,2.41767232562897,1.30212494008629,3.63535998738269,2.84964236798051,0.0850811970554588,1.9,2.1,0.3,-13.5,6.7
"BEN","Benin",2.11406472648392,2.96375291904201,4.811223315688,7.19143372144946,6.35767909791932,1.77815106030278,3.33967342629693,5.8,6.7,6.9,3.2,6
"BTN","Bhutan",11.9458959983757,7.98261704055791,5.11840085800534,2.11997263298215,5.77649568013724,6.64223210535566,8.1270335383894,6.3,3.8,3.9,1.5,1.8
"BOL","Bolivia",4.12671936920815,5.20409594656597,5.12227466098376,6.79601170559745,5.46056715368503,4.85718801458208,4.26392185377313,4.2,4.2,2.7,-5.9,2.2
"BIH","Bosnia and Herzegovina",0.767250351348665,0.908241482463865,-0.699614302351236,2.35103569521404,1.14803202141205,3.08822714327496,3.14565228865749,3.2,3.7,2.6,-3.2,3.4
"BWA","Botswana",8.56363174773267,6.04831636706808,4.45616721309787,11.3434242527752,4.1492898931352,-1.69796561588223,4.30373745681474,2.9,4.5,3.5,-9.1,4.2
"BRA","Brazil",7.52822583005563,3.97442540583816,1.92115031836302,3.00484630505706,0.503955740242247,-3.54576339269425,-3.27591690782192,1.3,1.3,1.1,-8,2.2
"BGR","Bulgaria",0.569823564525194,2.35098045583469,0.360583188287578,0.318735761322571,1.89454714241928,3.98952626923408,3.81153782976097,3.5,3.1,3.4,-6.2,4.3
"BFA","Burkina Faso",8.44628157682938,6.62256261237535,6.45267238090545,5.79260559190561,4.32684561321506,3.91255719996406,5.95869171935315,6.3,6.8,5.7,2,5.8
"BDI","Burundi",5.12416330338039,4.03260249625296,4.44670822214543,4.9241952612883,4.24065164368079,-3.9000030859375,-0.600020000546493,0.5,1.6,1.8,1,2.3
"CPV","Cabo Verde",1.46679009706938,3.96888634471986,1.08191827877127,0.802797600574223,0.611212666207877,1.00686370684559,4.70579150927118,3.7,5.1,5.5,-5.5,5
"KHM","Cambodia",5.96307857538696,7.0695699458918,7.31334550530008,7.35666514887974,7.14257110074294,7.03608717929632,7.03096677600881,7,7.5,7.1,-1,6
"CMR","Cameroon",3.4225076411544,4.12927716056967,4.54326501566736,5.40426570971735,5.88405932668046,5.6514637436283,4.64848155096477,3.5,4.1,3.9,-0.2,3.4
"CAF","Central African Republic",4.63081843223307,4.19461533741989,5.05376125356918,-36.3919770983887,0.0810705153264877,4.33712103020234,4.75031684122339,4.5,3.7,3.1,0.8,3.5
"TCD","Chad",13.550100859549,0.0828697984381677,8.88257607170316,5.70000136285864,6.89998504532167,2.7676756848447,-6.25552708545281,-3,2.6,3.2,-0.2,4.7
"CHL","Chile",5.84417729578996,6.11091882913644,5.31862800041417,4.04500429814895,1.76673978363868,2.3037670361239,1.71108928867399,1.2,3.9,1.1,-4.3,3.1
"CHN","China",10.6361404632298,9.55091409001017,7.85962749328517,7.76861528412817,7.42452365619906,7.04185620085329,6.84872842271704,6.8,6.6,6.1,1,6.9
"COL","Colombia",4.49465897070922,6.94789198173555,3.91263576716115,5.13399351995669,4.49903000110974,2.95590137527523,2.08738250162794,1.4,2.5,3.3,-4.9,3.6
"COM","Comoros",3.79993345468068,4.09984695496956,3.2002729031888,4.49987421530828,2.10000643830286,1.11614058271805,3.3206800249451,3.8,3.4,1.9,-1.4,3.2
"COD","Congo, Dem. Rep.",7.10797657581392,6.8746708900163,7.08689894671942,8.48195663608757,9.47028809714084,6.91618781026789,2.39937909829004,3.7,5.8,4.4,-2.2,3.5
"COG","Congo, Rep.",8.75160145933474,3.42066568060181,3.79997131252208,3.4407052491938,6.77991615766737,2.64648587686472,-2.80001878768313,-1.8,1.6,-0.9,-6.2,-1.1
"CRI","Costa Rica",4.95186384401947,4.3071016599247,4.79691991858162,2.26902740046155,3.51533856391144,3.63173144154423,4.245989878198,3.9,2.7,2.1,-3.3,3
"CIV","Cote d'Ivoire",2.01763859212427,-4.38725478852275,10.7065041034855,8.88942130155425,8.79407739027734,8.84285994958891,7.17920782392478,7.4,6.8,6.9,2.7,8.7
"HRV","Croatia",-1.49643076958475,-0.309789162342938,-2.23764754122368,-0.54854848857066,-0.103928497193934,2.4371709276448,3.48370307569121,3.1,2.7,2.9,-9.3,5.4
"DJI","Djibouti",NA,NA,NA,NA,7.06154324233921,7.69608557567065,6.65265037178067,5.4,8.4,7.5,1.3,9.2
"DMA","Dominica",0.672795628982044,-0.223550688234681,-1.05900024335192,-0.999940631175406,4.44794736481393,-2.69110892388451,2.55649491313986,-9.5,0.5,9.6,-4,4
"DOM","Dominican Republic",8.33965105962218,3.13342300326755,2.71736789670562,4.87520509332271,7.05046368965911,6.9270187716221,6.65920026269582,4.7,7,5.1,-0.8,2.5
"ECU","Ecuador",3.52529866894027,7.86814091910996,5.641962066712,4.94651126690626,3.78886854920833,0.0988726083462836,-1.22638398463877,2.4,1.3,0.1,-7.4,4.1
"EGY","Egypt, Arab Rep.",5.14723485873294,1.76457194925801,2.22619979662136,2.18546605471231,2.91591187883584,4.37201907940117,4.34664345337816,4.2,5.3,5.6,3,2.1
"SLV","El Salvador",2.10428320345417,3.81705639614856,2.81550182179528,2.23375368188512,1.71122320586494,2.39502829799937,2.54653313501558,2.3,2.4,2.4,-5.4,3.8
"GNQ","Equatorial Guinea",-8.92417588851806,6.52392362989873,8.31287184445641,-4.13319850131583,0.415066301596866,-9.11004114881537,-8.81641723219757,-4.7,-6.1,-6.2,-8.4,-1.6
"ERI","Eritrea",2.1941905448334,8.67979993646819,NA,NA,NA,NA,NA,-10,13,3.7,-0.7,5.7
"SWZ","Eswatini",3.79375496828149,2.247229761068,5.39130930653025,3.86227188218196,0.9131964947738,2.31246561581284,1.26829668865996,2,2.4,1.3,-2.8,2.7
"ETH","Ethiopia",12.5505383459308,11.1782962271642,8.64781163337416,10.5822700482672,10.2574929610051,10.3924630202334,9.43348265784402,10,7.9,9,3.2,3.6
"FJI","Fiji",2.9546724221224,2.70514302901049,1.41131438177968,4.73421948956529,5.60351440618309,4.66380810435447,2.50978543561308,5.4,3.5,1,-4.3,1.9
"GAB","Gabon",7.08988731455126,7.09175334258654,5.25107691750407,5.63869900338693,4.31496444107471,3.8788993950789,2.09144220829562,0.5,0.8,3.3,-3.2,-2.6
"GMB","Gambia, The",5.90833580968291,-8.1304442231566,5.24156924630741,2.872768790327,-1.40738249510954,4.0580738039996,1.94335965478776,4.8,6.6,6,2.5,6.5
"GEO","Georgia",6.24948768934068,7.40000000000003,6.3690083063386,3.62130535196276,4.43192482309078,3.02220738019703,2.90643878002064,4.8,4.8,5.1,-4.8,4
"GHA","Ghana",7.8997118893531,14.0471236303192,9.29278940459677,7.31252500733126,2.89743883691538,2.1782067443939,3.44779299129728,8.1,6.3,6.5,1.5,3.4
"GRD","Grenada",-0.511262754149129,0.764976824032317,-1.15514373468322,2.35141877347161,7.34407652185287,6.44314373327768,3.73561413158529,4.4,4.2,3.1,-9.6,6.5
"GTM","Guatemala",2.86948775349354,4.16204893702586,2.9698574079878,3.69758610019476,4.44397807385226,4.09217057685802,2.67780255532826,3,3.1,3.6,-3,4.1
"GIN","Guinea",4.81336296141666,5.61210718997094,5.91528813844178,3.94568543051264,3.69654118231641,3.82592238557429,10.8183838150416,10.3,6.2,5.6,2.1,7.9
"GNB","Guinea-Bissau",4.61097090010318,8.08477973398718,-1.71268301181073,3.25590426517692,0.96456075098132,6.13408294113292,6.26280563780463,5.9,3.8,4.7,-1.6,3.1
"GUY","Guyana",4.13856434968405,5.19605925781059,5.27642264277056,5.01772495184436,3.89824320567487,3.05486453959792,3.36321612361941,2.1,4.1,4.7,51.1,8.1
"HTI","Haiti",-3.12239442952746,5.52374001507158,2.89224017227224,4.24763999352109,2.77630013692342,1.22432977752609,1.45271015217151,1.2,1.5,-0.9,-3.5,1
